method,dataset,token_budget,protocol,train_pos,test_pos,negative_set,llm_pool,n_train_neg,n_train_pos,detector,scope,n_test_neg,n_test_pos,test_neg_score_mean,test_pos_score_mean,test_neg_score_median,test_pos_score_median,AUROC,AUPR,TPR@5FPR
DivPrune,VQAv2_Open,64,fata_aware,fata,fata,clean_clip_random_clip,image,1000,500,visual_trajectory,stage_trajectory,1000,500,-0.10042535248161033,3.5957066263305024,-0.17764810113552296,3.548270356897766,0.994236,0.9791354950516392,1.0
DivPrune,VQAv2_Open,64,fata_aware,fata,fata,clean_clip_random_clip,image,1000,500,projector_trajectory,stage_trajectory,1000,500,-0.2871709709437068,0.5536830329872843,-0.5247388238645124,0.35281281007480414,0.71632,0.5720655295974443,0.21
DivPrune,VQAv2_Open,64,fata_aware,fata,fata,clean_clip_random_clip,image,1000,500,llm_trajectory,stage_trajectory,1000,500,-0.3036126604921818,0.35867218565455233,-0.6380367269709677,0.3897051419483668,0.684964,0.5331837662193218,0.188
DivPrune,VQAv2_Open,64,fata_aware,fata,fata,clean_clip_random_clip,image,1000,500,all_level_fused,fused,1000,500,-0.2815671898005536,1.8363799294707426,-0.41500974060447104,1.7964208905759693,0.919144,0.8540110289802488,0.578
FlowCut,ScienceQA_MC,32,base_sanity,base,base,clean_clip_random_clip,image,1000,500,visual_trajectory,stage_trajectory,1000,500,0.007487558017921629,5.467226388403708,-0.08201838788952276,5.43056052962857,0.9987180000000001,0.9973436053413159,0.998
FlowCut,ScienceQA_MC,32,base_sanity,base,base,clean_clip_random_clip,image,1000,500,projector_trajectory,stage_trajectory,1000,500,-0.019604299853727553,2.9455292863387967,-0.0018661617713107374,2.6994247189742806,0.931722,0.9018707454403309,0.74
FlowCut,ScienceQA_MC,32,base_sanity,base,base,clean_clip_random_clip,image,1000,500,llm_trajectory,stage_trajectory,1000,500,-0.0489302859560943,3.253633183095907,-0.07035089181729855,3.23901162743826,0.97669,0.9608621073951741,0.888
FlowCut,ScienceQA_MC,32,base_sanity,base,base,clean_clip_random_clip,image,1000,500,all_level_fused,fused,1000,500,-0.025864846375612132,4.942900031018046,-0.13100732716233449,4.877551727654602,0.996562,0.9932510226010594,0.98
FlowCut,ScienceQA_MC,32,fata_unseen_base_dir,base,fata,clean_clip_random_clip,image,1000,500,visual_trajectory,stage_trajectory,1000,500,0.007487558017921629,3.4110006432681748,-0.08201838788952276,3.188382275574899,0.9853820000000001,0.9607193864920125,0.968
FlowCut,ScienceQA_MC,32,fata_unseen_base_dir,base,fata,clean_clip_random_clip,image,1000,500,projector_trajectory,stage_trajectory,1000,500,-0.019604299853727553,1.0351666537935666,-0.0018661617713107374,0.7603237460015532,0.7200320000000001,0.6028647391421433,0.268
FlowCut,ScienceQA_MC,32,fata_unseen_base_dir,base,fata,clean_clip_random_clip,image,1000,500,llm_trajectory,stage_trajectory,1000,500,-0.0489302859560943,1.6528521422002673,-0.07035089181729855,1.6209273514995584,0.848292,0.7747346898416424,0.522
FlowCut,ScienceQA_MC,32,fata_unseen_base_dir,base,fata,clean_clip_random_clip,image,1000,500,all_level_fused,fused,1000,500,-0.025864846375612132,2.584076678984756,-0.13100732716233449,2.4629053287977487,0.9518239999999999,0.8974747685462166,0.704
FlowCut,ScienceQA_MC,32,fata_aware,fata,fata,clean_clip_random_clip,image,1000,500,visual_trajectory,stage_trajectory,1000,500,-0.013361307414977317,3.4748678291233905,-0.3169931853439568,3.2417595877401526,0.986468,0.9659302113084112,0.96
