,,,,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUPR,AUPR,AUPR,AUPR,AUPR,AUPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,n_test_attack,n_test_attack,n_test_attack,n_test_attack,n_test_attack,n_test_attack
,,,,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count
protocol,train_attack,test_attack,detector,,,,,,,,,,,,,,,,,,,,,,,,
cage_unseen_base_dir,base,cage,projector_trajectory,0.8362993,0.10922678465665635,0.8668469999999999,0.624598,0.9654739999999999,20,0.7448164933801807,0.14435496082614815,0.7421349682582832,0.4882272696895448,0.9349988368763144,20,0.4758,0.2277671017324033,0.41000000000000003,0.142,0.808,20,500.0,0.0,500.0,500,500,20
cage_unseen_base_dir,base,cage,visual_trajectory,0.999184,0.0013799038868131986,0.99994,0.996856,1.0,20,0.9984249440632578,0.0026576040090459845,0.9998790614779781,0.9939416532970751,1.0,20,0.9974999999999999,0.00444261658319319,1.0,0.99,1.0,20,500.0,0.0,500.0,500,500,20
fata_aware,fata,fata,all_level_fused,0.9370877999999999,0.027309463267480977,0.943087,0.8755740000000001,0.9749279999999999,20,0.8781327527036152,0.04752941059133226,0.8914652426618062,0.7738920640156453,0.9522981025917157,20,0.6927,0.11463126238417456,0.712,0.498,0.876,20,500.0,0.0,500.0,500,500,20
fata_aware,fata,fata,llm_trajectory,0.7619805,0.07493258192008687,0.770761,0.616834,0.871418,20,0.6195633344322612,0.09680734849644887,0.607931279246048,0.44512812036913313,0.7599460405967157,20,0.2782,0.12895678590744633,0.247,0.088,0.544,20,500.0,0.0,500.0,500,500,20
fata_aware,fata,fata,projector_trajectory,0.7553740999999999,0.055692669299232576,0.769342,0.633446,0.8458580000000001,20,0.6226998464946253,0.07530208172392663,0.6212674451133611,0.46291648867206137,0.7439434027919403,20,0.2846,0.09069114736580589,0.273,0.128,0.442,20,500.0,0.0,500.0,500,500,20
fata_aware,fata,fata,visual_trajectory,0.9900459999999999,0.005457583425116391,0.990352,0.983312,0.9961679999999999,20,0.9678283674449777,0.021369969519535466,0.9725328531800252,0.9351985458469931,0.9910492175728673,20,0.9789999999999999,0.019547512966050087,0.978,0.96,1.0,20,500.0,0.0,500.0,500,500,20
fata_unseen_base_dir,base,fata,all_level_fused,0.9347213,0.030668891101227457,0.941603,0.8570859999999999,0.97356,20,0.8699692132400878,0.054011601039385786,0.8850284536615971,0.751188013874814,0.9362003487429824,20,0.6771,0.11886210497883676,0.703,0.47,0.89,20,500.0,0.0,500.0,500,500,20
fata_unseen_base_dir,base,fata,llm_trajectory,0.7340361,0.08113639444910037,0.730739,0.596544,0.848292,20,0.5816079327766369,0.11098100930746838,0.5754449534971731,0.4232840264979738,0.7747346898416424,20,0.2472,0.13794644269654646,0.235,0.078,0.522,20,500.0,0.0,500.0,500,500,20
fata_unseen_base_dir,base,fata,projector_trajectory,0.7161918,0.05838148512165929,0.72398,0.623378,0.809974,20,0.5666858011680278,0.07296881903680569,0.5623145617348024,0.46222871837401447,0.7011926301217007,20,0.2209,0.08166033631032747,0.186,0.126,0.41,20,500.0,0.0,500.0,500,500,20
fata_unseen_base_dir,base,fata,visual_trajectory,0.98859,0.007943928234159323,0.988664,0.97807,0.998962,20,0.9688179706166009,0.025429593789611866,0.9725182738502232,0.9325283466529357,0.9977069881130217,20,0.974,0.020261449005179143,0.975,0.946,1.0,20,500.0,0.0,500.0,500,500,20
