method,dataset,token_budget,protocol,train_attack,test_attack,llm_pool,n_train_attack,n_test_attack,detector,scope,n_test_neg,n_test_pos,test_neg_score_mean,test_pos_score_mean,AUROC,AUPR,TPR@5FPR
DivPrune,ScienceQA_MC,32,caa_aware,caa,caa,image,494,496,llm_image_l16,layer,992,496,-0.10469800757745097,0.6580662880120555,0.7429150949531738,0.6305056921462902,0.29838709677419356
DivPrune,ScienceQA_MC,32,caa_aware,caa,caa,image,494,496,llm_image_l24,layer,992,496,-0.11221713929039505,0.6835542468628949,0.766610708246618,0.6753940843229834,0.3850806451612903
DivPrune,ScienceQA_MC,32,caa_aware,caa,caa,image,494,496,llm_image_l32,layer,992,496,-0.1540867193121343,0.8799466182193306,0.7714254357440166,0.6549774963217563,0.3790322580645161
DivPrune,ScienceQA_MC,32,caa_aware,caa,caa,image,494,496,visual_trajectory,stage,992,496,-0.009609329050677384,3.6293444041813587,0.8988846253902185,0.9083366108811093,0.8366935483870968
DivPrune,ScienceQA_MC,32,caa_aware,caa,caa,image,494,496,projector_trajectory,stage,992,496,-0.0961007808384339,1.1413222786437118,0.7941617618366286,0.6955643565827152,0.3850806451612903
DivPrune,ScienceQA_MC,32,caa_aware,caa,caa,image,494,496,llm_trajectory,stage,992,496,-0.11866098387250759,0.7259656765829317,0.7635905794745057,0.6650178121316593,0.37701612903225806
DivPrune,ScienceQA_MC,32,caa_aware,caa,caa,image,494,496,all_level_fused,fused,992,496,-0.07479036458720628,1.832210786469334,0.8952832336108221,0.8780418817857041,0.7157258064516129
DivPrune,ScienceQA_MC,32,fata_aware,fata,fata,image,500,500,vis_l06,layer,1000,500,-0.006557829320430756,3.2929330883026124,0.998826,0.9977076834001357,0.998
DivPrune,ScienceQA_MC,32,fata_aware,fata,fata,image,500,500,vis_l12,layer,1000,500,-0.025257780698186252,4.103066827364266,0.9861699999999999,0.9687336386477785,0.938
DivPrune,ScienceQA_MC,32,fata_aware,fata,fata,image,500,500,vis_l18,layer,1000,500,-0.003742008201603312,1.413631141721271,0.839099,0.676937297207021,0.316
DivPrune,ScienceQA_MC,32,fata_aware,fata,fata,image,500,500,vis_l24,layer,1000,500,0.004851003759074956,1.2015033702682705,0.7962000000000001,0.7097998630002631,0.46
DivPrune,ScienceQA_MC,32,fata_aware,fata,fata,image,500,500,proj_in,layer,1000,500,-0.10502417765709106,0.47396449331077745,0.6591239999999999,0.4834193651176429,0.156
DivPrune,ScienceQA_MC,32,fata_aware,fata,fata,image,500,500,proj_out,layer,1000,500,-0.1122457106821239,0.18582514942809938,0.5962000000000001,0.41995529916330376,0.1
DivPrune,ScienceQA_MC,32,fata_aware,fata,fata,image,500,500,llm_image_l08,layer,1000,500,-0.110056965126656,0.171608848646807,0.5897600000000001,0.4104633167676321,0.08
DivPrune,ScienceQA_MC,32,fata_aware,fata,fata,image,500,500,llm_image_l16,layer,1000,500,-0.11048586228222121,0.19799382949061692,0.60616,0.4517467910919572,0.136
